SubTime	NumProcs	ExeTime
0	512	4743
2121	512	21539
4745	512	4592
8733	256	7547
9340	512	4577
9585	32	9934
13920	512	4525
16283	256	7436
18448	512	4528
19460	32	10256
21316	512	11343
22979	512	4513
23722	256	7545
24557	128	279
27495	512	4568
29720	32	10206
31270	256	8821
32066	512	4806
33812	64	5001
36770	512	6460
39979	32	10596
40094	256	10414
43435	512	4814
50511	256	10583
50525	32	10251
54698	512	4858
54761	512	57
55090	512	415
57324	512	547
57980	64	5402
59607	32	391
59931	512	4666
60789	32	10155
60839	32	3774
61096	256	17341
62025	512	405
63422	256	22437
70945	32	10225
80163	64	934
80708	512	18512
81171	32	9888
81391	32	1099
81905	32	157
82861	256	3918
85392	512	923
88215	512	4527
91060	32	10210
92041	256	10661
101273	32	9900
103638	32	49
104031	32	46
104385	32	50
111380	256	16
111399	512	4509
115458	256	7707
116228	512	4525
118915	256	11535
121070	512	4496
123187	512	5050
124761	32	44
125431	64	15
125571	128	3456
125647	512	11411
126494	32	22
126650	32	66
126801	32	12
126945	32	62
127057	32	65
127408	32	67
128136	32	71
128646	32	69
128918	32	471
128965	32	82
129344	32	71
130010	32	716
130629	256	7663
130650	512	4607
131688	32	743
133588	32	36
133824	32	95
134204	32	67
134346	64	97
134506	128	946
134832	256	93
139450	512	11901
142386	256	7587
142993	32	696
144834	32	663
146412	32	1085
146623	512	4821
148939	512	966
150074	256	7595
157671	256	7594
162316	32	2392
163857	512	2451
163935	64	1029
164785	32	281
165268	512	18159
167321	256	1147
169132	32	1074
173820	512	3968
173925	64	855
175309	64	3463
184694	256	15495
193195	512	14803
197880	256	832
200199	256	14081
200516	64	2577
202402	32	38
202434	512	5849
203086	32	99
203237	32	46
203560	32	46
203618	32	43
204194	32	61
204810	32	70
206439	128	5335
206965	32	3788
207144	64	7927
207750	128	9888
210542	64	208
210825	32	1432
210895	32	40
211219	32	30
211788	128	3278
211930	128	100
212094	128	1127
212111	64	662
214489	32	233
215079	128	3842
216122	64	5589
219040	128	81
219248	256	54
219553	128	807
219733	256	59
219823	32	139
219840	512	6038
220038	64	541
220411	256	72
220816	256	88
221198	256	80
221413	64	1542
221455	64	761
221789	128	6717
221865	256	59
222188	256	754
222261	128	1271
223385	128	1067
223419	256	39
223568	64	13301
223618	256	887
223782	128	72
224205	512	104
224344	32	289
224573	32	914
224624	128	41
224940	256	1311
224983	128	6434
225058	128	1468
225093	64	1415
225714	32	427
225738	128	58
226197	128	55
226544	512	95
226803	32	540
226865	128	1451
226881	64	1369
227241	64	1178
227257	512	189
227485	32	13
228284	128	50
228344	256	7911
228509	256	1142
228517	128	3832
228881	512	252
229450	512	178
230175	32	2480
232358	128	8646
232604	128	8154
233255	32	3972
233269	32	69
233370	32	1566
233721	512	8802
234028	512	4560
234283	512	60
234358	128	23
234700	128	20
234926	128	4059
234933	128	2116
234996	64	24
235317	64	933
237836	128	1345
237857	64	421
238773	512	4559
240330	64	429
240430	256	448
240746	128	924
241013	128	936
241723	64	484
241760	256	487
243581	256	92
244461	256	135
244696	64	492
244734	256	499
245956	64	1421
246055	128	905
246894	256	87
247454	256	98
247625	256	10400
247628	512	71
248163	128	31
248194	128	14342
249602	512	1553
249835	128	1129
251928	64	308
252123	512	4524
253077	64	168
253699	64	168
253895	64	1051
255044	64	167
255866	64	167
256441	512	8829
257518	512	12
257654	64	173
258021	256	7561
258228	512	4623
262470	64	173
262524	128	14376
262854	512	4518
265586	256	7545
273135	256	7574
276206	512	4497
277987	128	14391
280711	256	12273
280716	512	4592
281511	128	140
281962	128	2116
282365	64	10764
284333	512	432
285315	512	4551
287606	64	15
288796	512	7037
288935	256	5318
290586	512	15
294897	512	1665
295012	32	189
295252	64	355
295521	32	3616
295774	64	198
296027	32	237
296086	64	482
297342	32	483
297550	64	200
297672	64	37
297714	64	58
297745	32	545
297781	64	197
297807	64	3029
298108	32	1022
298219	64	2440
298241	64	1089
299187	512	4779
299321	32	489
299681	64	459
300427	32	971
300621	128	20690
300961	32	348
301170	64	13244
302113	512	2727
302196	128	395
302797	128	5914
303015	128	141
304980	128	230
305443	256	7543
305589	32	74
306033	128	126
306793	128	230
306817	64	210
307288	64	337
307546	32	47
307634	32	338
307654	128	232
308054	32	1083
308067	32	1056
308535	32	312
308705	128	252
308730	128	4118
308969	32	129
309046	128	228
309221	32	2101
309332	32	31
309417	32	2795
309433	128	239
309680	32	37
309690	128	223
310057	64	624
310138	128	22474
310143	32	33
310403	32	34
311019	128	332
311028	128	1995
311039	128	429
311040	128	70
311506	128	70
311740	128	72
311846	32	33
311907	128	267
312097	512	11527
312317	32	33
312360	64	43
312431	64	171
312455	32	36
312527	128	279
312698	512	4636
312717	32	33
312802	64	50
312868	128	310
312883	64	30
312923	32	28
312980	256	7391
313007	32	34
313145	32	29
313190	32	434
313236	64	91
313337	32	33
313437	32	29
313513	128	346
313577	32	45
313743	32	49
313855	32	45
313915	32	119
314132	32	814
314168	64	314
314416	32	50
314508	64	807
314516	64	1323
314526	32	92
314593	128	928
314716	512	108
314839	256	101
314879	32	89
314924	32	135
315108	32	48
315201	32	45
315278	64	3983
315286	64	614
315295	128	354
315306	32	91
315642	128	130
315678	32	3973
315691	32	180
315985	64	66
316072	32	210
316133	32	595
316147	128	73
316194	32	47
316277	64	284
316383	128	131
316516	128	72
316694	32	54
